Word,Count
*,3731
the,1523
License,772
,565
to,551
under,462
in,372
this,320
or,316
you,311
may,310
distributed,308
file,297
WSO2,294
Inc,294
of,291
is,262
a,233
@param,227
and,211
for,205
with,203
-,199
on,194
by,177
an,175
required,168
not,163
use,162
All,160
at,158
compliance,157
obtain,157
specific,157
permissions,156
language,156
Version,155
except,155
agreed,155
Reserved,154
WARRANTIES,154
\License,\,154
applicable,154
OF,154
software,154
express,154
implied,154
ANY,154
\KIND,\,154
law,154
See,154
Rights,154
(c),154
Unless,154
OR,154
governing,154
limitations,154
copy,154
Copyright,154
\BASIS,\,154
\"\AS\,154
Apache,154
2.0,154
http://www.apache.org/licenses/LICENSE-2.0,154
(the,154
\IS"\\,154
either,154
CONDITIONS,154
WITHOUT,154
\writing,\,154
\"\License"\);\,154
licenses,140
You,140
device,136
(http://www.wso2.org),130
This,128
@return,119
class,98
\2015,\,83
user,70
used,69
operation,68
object,67
be,62
\2014,\,61
@throws,56
context,53
The,52
Operation,49
all,47
server,44
Device,40
application,39
message,39
policy,38
Returns,37
which,37
information,37
if,36
from,36
method,35
represents,34
list,34
MDMAPIException,34
handles,30
related,30
status,28
API,28
data,27
app,26
token,25
roles,25
Application,24
(http:www.wso2.org),24
as,23
value,22
request,22
when,22
button,21
password,20
Get,20
access,19
response,19
it,19
name,19
devices,18
can,18
activity,18
that,17
memory,16
Android,16
operations,16
get,16
notification,16
network,16
payload,16
Activity,15
current,15
type,15
system,15
-The,14
internal,14
code,14
Licensed,14
id,14
credentials,13
String,13
alert,12
needs,12
error,12
representing,12
preferences,12
result,12
license,12
state,11
are,11
Google,11
string,11
positive,11
returns,11
should,11
username,11
details,11
bean,11
Response,11
passed,11
wrap,11
title,11
AndroidAgentException,11
shared,11
A,10
WIFI,10
available,10
users,10
Checks,10
send,10
authentication,10
true,10
REST-API,10
key,10
InputStream,10
new,10
dialog,10
identify,10
put,10
Status,10
retrieved,10
size,9
stream,9
Dialog,9
private,9
mode,9
add,9
requesting,9
returning,9
given,9
role,9
installed,9
Alert,9
registration,9
GCM,8
client,8
label,8
MDM,8
implementation,8
wrapped,8
end,8
debug,8
messages,8
count,8
Outputting,8
package,8
inside,8
Id,8
Method,8
Used,8
upon,8
functionality,8
\2016,\,8
input,8
Check,8
sent,7
ComplianceFeature,7
screen,7
exception,7
number,7
json,7
register,7
onClickListener,7
exceptions,7
already,7
currently,7
constants,7
connection,7
{Response},7
external,7
contains,7
action,7
availability,7
info,7
done,7
Username,7
Custom,7
configuration,7
Retrieve,7
functionalities,7
update,7
integer,7
process,6
task,6
Configuration,6
saved,6
=,6
User,6
closed,6
content,6
formatted,6
Return,6
sending,6
retrieve,6
List,6
command,6
registered,6
Shows,6
support,6
Close,6
Network,6
agent,6
negative,6
service,6
Revokes,6
before,6
shell,6
org.wso2.carbon.mdm.api.common.MDMAPIException,6
date,6
will,6
oauth,6
trying,6
have,5
create,5
unregister,5
necessary,5
receive,5
negotiation,5
version,5
start,5
whether,5
successful,5
APIs,5
callback,5
SSID,5
text,5
throughout,5
Install,5
we,5
backend,5
has,5
received,5
encoded,5
agreement,5
remove,5
plugged,5
OTA,5
check,5
build,5
install,5
firmware,5
Display,5
(Particular,5
applications,5
retrieval,5
points,5
profile,5
If,5
management,5
actual,5
change,5
success,5
App,5
lock,5
calling,5
bad,5
\JSON,\,5
