Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,161,21428,14087,10604,1398,2764,9,4577,25620,2589,16582
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1,161,21428,14087,10604,1398,2764,9,4577,25620,2589,16582
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules,161,21428,14087,10604,1398,2764,9,4577,25620,2589,16582
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\apps,43,5113,3380,2548,352,607,1,1126,6251,661,4219
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\apps\jax-rs,43,5113,3380,2548,352,607,1,1126,6251,661,4219
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\apps\jax-rs\mdm-admin,43,5113,3380,2548,352,607,1,1126,6251,661,4219
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\apps\jax-rs\mdm-admin\src,43,5113,3380,2548,352,607,1,1126,6251,661,4219
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\apps\jax-rs\mdm-admin\src\main,43,5113,3380,2548,352,607,1,1126,6251,661,4219
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\apps\jax-rs\mdm-admin\src\main\java,43,5113,3380,2548,352,607,1,1126,6251,661,4219
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\apps\jax-rs\mdm-admin\src\main\java\org,43,5113,3380,2548,352,607,1,1126,6251,661,4219
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\apps\jax-rs\mdm-admin\src\main\java\org\wso2,43,5113,3380,2548,352,607,1,1126,6251,661,4219
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\apps\jax-rs\mdm-admin\src\main\java\org\wso2\carbon,41,4898,3250,2455,336,557,1,1091,6032,626,4000
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\apps\jax-rs\mdm-admin\src\main\java\org\wso2\carbon\mdm,41,4898,3250,2455,336,557,1,1091,6032,626,4000
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\apps\jax-rs\mdm-admin\src\main\java\org\wso2\carbon\mdm\api,21,3549,2493,1903,244,295,0,761,4045,355,2275
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\apps\jax-rs\mdm-admin\src\main\java\org\wso2\carbon\mdm\api\common,3,135,58,43,4,23,0,54,339,51,327
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\apps\jax-rs\mdm-admin\src\main\java\org\wso2\carbon\mdm\api\context,1,54,25,17,2,9,0,20,116,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\apps\jax-rs\mdm-admin\src\main\java\org\wso2\carbon\mdm\api\util,6,749,498,388,57,86,0,165,868,100,640
